AO_AVAILDAYS,SERVICE
14124.72,Air Force
122291.28,Air Force
77920.08,Air Force
87511.2,Air Force
162567.12,Air Force
27734.4,Air Force
132084.0,Air Force
154798.8,Air Force
125494.8,Air Force
140352.48,Air Force
145728.0,Air Force
92222.88,Air Force
17293.68,Air Force
136664.4,Air Force
93909.6,Air Force
120568.8,Air Force
108610.8,Air Force
163348.08,Air Force
135389.28,Air Force
166654.32,Air Force
39659.52,Air Force
136067.52,Air Force
148339.2,Air Force
162051.12,Air Force
68932.32,Air Force
156625.68,Air Force
41638.32,Air Force
0.0,Air Force
136547.28,Air Force
128423.52,Air Force
179623.68,Air Force
148089.12,Air Force
121200.0,Air Force
125772.0,Air Force
111713.28,Air Force
67474.08,Air Force
69655.2,Air Force
89557.68,Air Force
102679.92,Air Force
55103.52,Air Force
106005.12,Air Force
121254.72,Air Force
169989.12,Air Force
142673.52,Air Force
161908.08,Air Force
163826.4,Air Force
152432.16,Air Force
179015.28,Air Force
164356.08,Air Force
96777.6,Air Force
87993.12,Air Force
148971.6,Air Force
148461.6,Air Force
86171.52,Air Force
124045.68,Air Force
123634.32,Air Force
152717.28,Air Force
124560.72,Air Force
139927.92,Air Force
132325.68,Air Force
58839.6,Air Force
150678.0,Air Force
128121.12,Air Force
142331.28,Air Force
93000.48,Air Force
128917.2,Air Force
49859.52,Air Force
79847.52,Air Force
143031.12,Air Force
108627.6,Air Force
138419.52,Air Force
141422.88,Air Force
112464.0,Air Force
74964.72,Air Force
106662.72,Air Force
127867.92,Air Force
124200.72,Air Force
128150.88,Air Force
108075.6,Air Force
85732.08,Air Force
26344.8,Air Force
98846.4,Air Force
59421.12,Air Force
182082.48,Air Force
138115.68,Air Force
92480.88,Air Force
139161.6,Air Force
136184.4,Air Force
125812.08,Air Force
107587.2,Air Force
140227.2,Air Force
84432.72,Air Force
72762.48,Air Force
167287.92,Air Force
164120.88,Air Force
113688.48,Air Force
150804.72,Air Force
129351.6,Air Force
72480.48,Air Force
146504.88,Air Force
164765.28,Air Force
144196.08,Air Force
134891.52,Air Force
143356.32,Air Force
174904.8,Air Force
149025.6,Air Force
172566.0,Air Force
136893.12,Air Force
164971.68,Air Force
169707.12,Air Force
130397.52,Air Force
168705.6,Air Force
145274.4,Air Force
98473.68,Air Force
142788.0,Air Force
149251.68,Air Force
52679.52,Air Force
127616.4,Air Force
162913.2,Air Force
12387.6,Air Force
148394.88,Air Force
127627.68,Air Force
153552.72,Air Force
100138.8,Air Force
104083.2,Air Force
140032.32,Air Force
124550.88,Air Force
89267.52,Air Force
137358.0,Air Force
87156.72,Air Force
88086.72,Air Force
107845.68,Air Force
53987.52,Air Force
41864.4,Air Force
183946.08,Air Force
190031.52,Air Force
164639.28,Air Force
186360.72,Air Force
175145.28,Air Force
194309.28,Air Force
175397.28,Air Force
193438.8,Air Force
145976.4,Air Force
75937.92,Air Force
182330.4,Air Force
139770.72,Air Force
174009.6,Air Force
182032.8,Air Force
170634.72,Air Force
117754.32,Air Force
111340.32,Air Force
99743.52,Air Force
0.0,Air Force
160049.28,Air Force
128384.88,Air Force
195817.92,Air Force
169113.6,Air Force
181444.8,Air Force
155436.0,Air Force
6294.0,Air Force
158249.28,Air Force
163576.8,Air Force
117443.52,Air Force
172433.52,Air Force
12998.4,Air Force
169454.88,Air Force
