COMPONENT,COST_AMOUNT,FYYearInt,LEVEL_OF_MAINTENANCE,NATURE_OF_COST,NON_MAINTAINERS,NUMBER_OF_MAINTAINERS,PER_CAPITA_RATE,PROVIDER_OF_MAINTENANCE,SERVICE
Active,0,2015,Field,Labor,,0,0,Organic,Other DoD
Active,0,2017,Field,Labor,,0,0,Organic,Other DoD
Active,2521.142468,2008,Field,Labor,,40813,61773.02498,Organic,Marine Corps
Active,2627.853292,2017,Field,Labor,,37550,69982.77743,Organic,Marine Corps
Active,2955.964493,2010,Field,Labor,,43918,67306.44595,Organic,Marine Corps
Active,6161.485672,2009,Field,Labor,,94420,65256.14988,Organic,Army
Active,6164.831875,2013,Field,Labor,,79483,77561.64054,Organic,Air Force
Active,6310.040088,2011,Field,Labor,,81111,77795.12135,Organic,Air Force
Active,6404.378216,2009,Field,Labor,,88626,72262.97268,Organic,Air Force
Active,6980.242659,2012,Field,Labor,,94030,74234.20886,Organic,Army
Active,8366.1873,2008,Field,Labor,,118261,70743.41752,Organic,Navy
Active,9148.097626,2010,Field,Labor,,121233,75458.80764,Organic,Navy
Active,9454.251409,2017,Field,Labor,,116738,80986.92293,Organic,Navy
Active,9739.308744,2016,Field,Labor,,121005,80486.82901,Organic,Navy
Active,23851.63905,2009,Field,Labor,,340903,69966.05795,Organic,Total DoD
Active,25162.80546,2010,Field,Labor,,345471,72836.23072,Organic,Total DoD
Civilian,5.208727456,2017,Depot,Labor,0,0,114078.0579,Organic,Other DoD
Civilian,13.02735188,2010,Depot,Labor,0,0,95574.72648,Organic,Other DoD
Civilian,93.10944732,2015,Field,Labor,,1110,83882.38497,Organic,Marine Corps
Civilian,98.4908273,2010,Field,Labor,,1212,81263.05883,Organic,Marine Corps
Civilian,98.96589948,2012,Field,Labor,,1149,86132.20146,Organic,Marine Corps
Civilian,103.751073,2016,Depot,Labor,484,892,93678.29266,Organic,Marine Corps
Civilian,172.836425,2009,Depot,Labor,425,1744,80384.96213,Organic,Marine Corps
Civilian,219.7496466,2015,Depot,Labor,521,986,83882.38497,Organic,Marine Corps
Civilian,1019.978135,2013,Depot,Labor,5061,8452,86765.23833,Organic,Army
Civilian,1028.795103,2016,Depot,Labor,4754,7098,93601.47608,Organic,Army
Civilian,1361.084817,2012,Field,Labor,,15013,90660.41543,Organic,Navy
Civilian,1401.366129,2010,Depot,Labor,6276,10801,82130.49154,Organic,Army
Civilian,2266.592418,2009,Field,Labor,,28008,80926.60733,Organic,Air Force
Civilian,2313.761149,2015,Field,Labor,,27233,84961.66963,Organic,Air Force
Civilian,2378.087729,2013,Field,Labor,,27631,86065.93062,Organic,Air Force
Civilian,2438.362155,2011,Field,Labor,,28697,84969.23563,Organic,Air Force
Civilian,2445.403027,2012,Field,Labor,,28555,85638.348,Organic,Air Force
Civilian,2718.919918,2009,Depot,Labor,7541,14219,80926.60733,Organic,Air Force
Civilian,2801.316234,2011,Depot,Labor,8612,16810,84969.23563,Organic,Air Force
Civilian,3238.783596,2008,Depot,Labor,15183,19910,79937.35398,Organic,Navy
Civilian,6461.641225,2010,Field,Labor,,78167,82664.56721,Organic,Total DoD
Civilian,6735.591196,2011,Field,Labor,,78230,86099.84911,Organic,Total DoD
Civilian,7080.340042,2016,Field,Labor,,74727,94749.42179,Organic,Total DoD
Civilian,8103.488079,2010,Depot,Labor,31608,48477,101186.0908,Organic,Total DoD
Civilian,8363.785822,2017,Depot,Labor,32700,47829,103860.5449,Organic,Total DoD
Guard/Reserve,0,2016,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,0,2017,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,136.1874356,2013,Field,Labor,,6220,21895.0861,Organic,Marine Corps
Guard/Reserve,164.7171637,2017,Field,Labor,,6415,25676.87665,Organic,Marine Corps
Guard/Reserve,193.9500416,2008,Field,Labor,,6281,30878.84758,Organic,Marine Corps
Guard/Reserve,418.9112113,2008,Field,Labor,,12753,32848.05233,Organic,Navy
Guard/Reserve,419.5668217,2015,Field,Labor,,12441,33724.5255,Organic,Navy
Guard/Reserve,1616.88793,2008,Field,Labor,,50702,31890.02269,Organic,Air Force
Guard/Reserve,2098.438822,2015,Field,Labor,,86655,24216.01549,Organic,Army
Total,146.6116304,2010,Field,Labor,,1534,95574.72648,Organic,Other DoD
Total,2895.140708,2017,Field,Labor,,45037,64283.60476,Organic,Marine Corps
Total,2949.664623,2015,Field,Labor,,46909,62880.56926,Organic,Marine Corps
Total,3073.541407,2014,Field,Labor,,48061,63950.84178,Organic,Marine Corps
Total,3170.986414,2012,Field,Labor,,49280,64346.31521,Organic,Marine Corps
Total,10115.25886,2009,Field,Labor,,141402,71535.47233,Organic,Navy
Total,10414.72667,2012,Field,Labor,,154403,67451.58234,Organic,Air Force
Total,11071.51057,2011,Field,Labor,,146356,75647.80787,Organic,Navy
Total,11198.04658,2013,Field,Labor,,144714,77380.53388,Organic,Navy
Total,11468.50343,2014,Field,Labor,,146685,78184.56848,Organic,Navy
Total,11707.25443,2016,Field,Labor,,149854,78124.40395,Organic,Navy
Total,12588.94013,2010,Field,Labor,,218424,57635.3337,Organic,Army
Total,35034.1699,2015,Field,Labor,,540874,64773.25569,Organic,Total DoD
