DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,,X,TRI2017,HYDRAULIC JACK,0,,,2012,f,t,,,0,,Air Force,0,0,TRI2017
AFA,,X,TRIGGER,TRIGGER,0,,,2012,f,f,,,0,,Air Force,0,0,TRIGGER
AFA,,X,TRIM TAB,TRIM TAB,0,,,2009,f,f,,,0,,Air Force,0,0,TRIM TAB
AFA,,X,TRIM TAB,TRIM TAB,0,,,2010,f,f,,,0,,Air Force,0,0,TRIM TAB
AFA,,X,TRIM VANE,TRIM VANE,0,,,2008,f,f,,,0,,Air Force,0,0,TRIM VANE
AFA,,X,TRIM VANE,TRIM VANE,0,,,2009,f,f,,,0,,Air Force,0,0,TRIM VANE
AFA,,X,TRIM VANE,TRIM VANE,0,,,2010,f,f,,,0,,Air Force,0,0,TRIM VANE
AFA,,X,TRIM VANE,TRIM VANE,0,,,2011,f,f,,,0,,Air Force,0,0,TRIM VANE
AFA,,X,TRIMMER,TRIMMER,0,,,2009,f,f,,,0,,Air Force,0,0,TRIMMER
AFA,,X,TRIPOD,TRIPOD,0,,,2009,f,f,,,0,,Air Force,0,0,TRIPOD
AFA,,X,TRIPOD,TRIPOD,0,,,2010,f,f,,,0,,Air Force,0,0,TRIPOD
AFA,,G,TRLR0494,TRAILER,0,,,2010,f,t,,,0,,Air Force,0,0,TRLR0494
AFA,,G,TRLR0494,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR0494
AFA,,G,TRLR0494,TRAILER,0,,,2012,f,t,,,0,,Air Force,0,0,TRLR0494
AFA,,G,TRLR0494,TRAILER,0,,,2009,f,t,,,0,,Air Force,0,0,TRLR0494
AFA,,G,TRLR0494,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR0494
AFA,,G,TRLR3093,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR3093
AFA,,G,TRLR3397,TRAILER,0,,,2009,f,t,,,0,,Air Force,0,0,TRLR3397
AFA,,G,TRLR3397,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR3397
AFA,,G,TRLR3397,TRAILER,0,,,2008,f,t,,,0,,Air Force,0,0,TRLR3397
AFA,,G,TRLR600GAL,TRAILER,0,,,2011,f,t,,,0,,Air Force,0,0,TRLR600GAL
AFA,,G,TRLR600GAL,TRAILER,0,,,2009,f,t,,,0,,Air Force,0,0,TRLR600GAL
