AVAILCD,AWMCODE,AWMTOTAL,AWPCODE,AWPTOTAL,CORROCATCD,CORROTAT,COSTCORRECTIVE,COSTCORRECTIVECORRO,COSTLABOR,COSTLABORCORRO,COSTMATL,COSTMATLCORRO,COSTPART,COSTPARTCORRO,COSTPREVENTIVE,COSTPREVENTIVECORRO,COSTSTRUCTURE,COSTSTRUCTURECORRO,COSTTOTAL,COSTTOTALCORRO,DATASEGMENT,EICATEGORY,EICC,EITM,ENDITEMUNIQUEID,ENGINETMS,FAULTCAUSECD,FORCEELEMENT,FYQTR,FYYearInt,ISCORROSION,ISNMCCAUSING,JCN,JCNCOMPLDATE,JCNSTARTDATE,LMIWBS,MAINTACTIONCD,MAINTDLH,MAINTLEVELCD,MAINTOPKEYWORD,MAINTSUBWORKCTR,MAINTTAT,MAINTWORKCTR,MAJORCOMMANDCD,MODERNIZATION,MONTH_CHAR,MONTH_NUMBER,NIIN,NMCM_MAINTTAT,NMCS_MAINTTAT,OPCD,OPNCOMPLDATE,OPNSTARTDATE,PARTSTRUCTURE,PREVENTIVECORRECTIVE,QTYITEMSMAINTAINED,ROH,SCORECARDGROUP,SERVICE,SERVICEWBS,SORCD,SUBJCN,TIER1OBJECT,TIER2OBJECT,TMS,UNITCD,WPC
RED_X,,,,,,0,687.2432,0,672.6939,0,14.5493,0,687.2432,0,0,0,0,0,687.2432,0,AFA,CF,F,KC-135,5800000075,,70,Rapid Mobility,,2008,f,t,72890063,1/14/2008 0:00,10/15/2007 0:00,FL034,R,2,1,INSTALL,,4.2005,,AFRC,,,,,,,18207208,10/16/2007 0:00,10/16/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,13AM0,FFLH7,9268665,LANDING GEAR OR AXLE,AXLE,KC-135R,FFLH7,S
RED_X,,,,,,0,688.6403,0,672.6939,0,15.9464,0,0,0,0,0,688.6403,0,688.6403,0,AFA,CF,F,KC-135,6100000321,,799,Rapid Mobility,,2008,f,t,82200901,9/30/2008 0:00,8/7/2008 0:00,FR021,X,2,1,REMOVE,,0.779886,,PACAF,,,,,,,6498295,8/8/2008 0:00,8/7/2008 0:00,STRUCTURE,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,47000,FFC3X,3786410,,BOOM,KC-135R,FFC3X,B
RED_X,,,,,,0,689.2825,0,635.1796,0,54.1029,0,689.2825,0,0,0,0,0,689.2825,0,AFA,CF,F,C-5,6900000002,,0,Rapid Mobility,,2008,f,t,80660245,3/11/2008 0:00,3/6/2008 0:00,FR034,UNK,3.8,1,REMOVE,,1.84654,,AFRC,,,,,,,18114183,3/7/2008 0:00,3/7/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,7000,FFLKK,6350231,LANDING GEAR OR AXLE,LANDING GEAR LOCK,C-5A,FFLKK,B
RED_X,,,,,,0,690.1566,0,653.9817,0,36.1749,0,690.1566,0,0,0,0,0,690.1566,0,AFA,CF,F,C-130,6200001824,,875,,,2008,f,t,82260026,9/11/2008 0:00,5/19/2008 0:00,FE111,T,2,1,CANNIBALIZE,,5.47059,,ANG,,,,14557312,,,15988337,8/13/2008 0:00,8/13/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,51825,FFCXZ,4676452,NAVIGATIONAL CONTROL INSTRUMENTATION,AZIMUTH INDICATOR,C-130E,FFCXZ,B
RED_X,,,,,,0,690.2043,0,133.555,0,556.6493,0,690.2043,0,0,0,0,0,690.2043,0,AFA,CF,F,C-130,7400002069,ENG-T-56,0,,,2008,f,t,08092B173,5/19/2008 0:00,4/2/2008 0:00,FE015,UNK,0.5,1,DRAIN,,0.93831,,AMC,,,,15096432,,,5032632,4/11/2008 0:00,4/11/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,3720,FFD9F,5402779,ENGINE OR PROPULSION,DRAIN,C-130H,FFD9F,E
RED_X,,,,,,0,691.475,0,534.2199,0,157.2551,0,691.475,0,0,0,0,0,691.475,0,AFA,CF,F,C-130,8600000418,,901,,,2008,f,t,82620208,9/29/2008 0:00,9/18/2008 0:00,FL112,R,2,1,INSTALL,,3.44531,,AFRC,,,,14108062,,,18485304,9/29/2008 0:00,9/29/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,727AD,FFD17,3249841,NON-DIRECTIONAL CONTROL INSTRUMENTATION,PRESSURE RELIEF VALVE,C-130H,FFLJM,B
RED_X,,,,,,0,691.475,0,534.2199,0,157.2551,0,691.475,0,0,0,0,0,691.475,0,AFA,CF,F,C-130,8600000418,,901,,,2008,f,t,82620208,9/29/2008 0:00,9/18/2008 0:00,FL112,R,2,1,INSTALL,,3.44531,,AFRC,,,,14108062,,,18459373,9/29/2008 0:00,9/29/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,727AD,FFD17,3249841,NON-DIRECTIONAL CONTROL INSTRUMENTATION,PRESSURE RELIEF VALVE,C-130H,FFLJM,B
RED_X,,,,,,0,693.7826,0,668.6101,0,25.1725,0,693.7826,0,0,0,0,0,693.7826,0,AFA,CF,F,C-5,6900000016,,804,Rapid Mobility,,2008,f,t,80100324,1/15/2008 0:00,1/10/2008 0:00,FL044,R,4,1,INSTALL,,2.77779,,ANG,,,,14636710,,,18679224,1/10/2008 0:00,1/10/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,11CAD,FFLKK,7320149,,ALARM SAFETY AND WARNING SYSTEMS,C-5A,FFBLV,B
RED_X,,,,,,0,693.9906,0,693.9906,0,0,0,0,0,0,0,693.9906,0,693.9906,0,AFA,CF,F,C-17,173,,799,Rapid Mobility,,2008,f,t,7.28E+12,10/12/2007 0:00,10/3/2007 0:00,FR021,X,2,1,REMOVE,,1.83362,,PACAF,,,,,,,2023194,10/11/2007 0:00,10/11/2007 0:00,STRUCTURE,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,12RD0,FFBB7,7124157,,SEAT,C-17A,FF6QC,B
RED_X,,,,,,0,693.9906,0,693.9906,0,0,0,0,0,0,0,693.9906,0,693.9906,0,AFA,CF,F,C-17,175,,105,Rapid Mobility,,2008,f,t,80857320,3/29/2008 0:00,3/25/2008 0:00,FR028,G,2,1,REPLACE,,1.20197,,AMC,,,,,,,1187860,3/25/2008 0:00,3/25/2008 0:00,STRUCTURE,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,11RRC,FFCWF,7330999,,PYLON,C-17A,FFCWF,B
